mname,mnameng,mno,mdate,mnation,mtype,mgen,mstat,mdir,
1917,,20192399,2019,미국,장편,드라마(1),개봉,샘 멘데스,
빈집,3-Iron,20040688,2004,한국,장편,드라마,개봉,김기덕,
공각기동대,GHOST IN THE SHELL,20020102,1995,일본,장편,SF,개봉,오시이 마모루,
러빙 빈센트,Loving Vincent,20179942,2017,영국(1),장편,애니메이션(1),개봉,도로타 코비엘라,
내 여자친구를 소개합니다,Windstruck,20040568,2004,한국,장편,멜로/로맨스(1),개봉,곽재용,
뷰티 인사이드,The Beauty Inside,20143572,2015,한국,장편,판타지(1),개봉,백,
지금은맞고그때는틀리다,"Right Now, Wrong Then",20151782,2015,한국,장편,드라마,개봉,홍상수,
바스터즈: 거친 녀석들,Inglourious Basterds,20090578,2009,미국(1),장편,액션(2),개봉,쿠엔틴 타란티노,
김씨표류기,Castaway on the Moon,20090237,2008,한국,장편,코미디(1),개봉,이해준,
인터스텔라,Interstellar,20149120,2014,미국(1),장편,SF,개봉,크리스토퍼 놀란,
똥파리,Breathless,20090035,2008,한국,장편,드라마,개봉,양익준,몰필름
캐스트 어웨이,Cast Away,20010121,2000,미국,장편,드라마(1),개봉,로버트 저메키스,
뷰티풀 마인드,A BEAUTIFUL MIND,20113878,2001,미국,장편,드라마,개봉,론 하워드,
김종욱 찾기,Finding Mr. Destiny,20101200,2010,한국,장편,멜로/로맨스(1),개봉,장유정,
A.I.,A.I.,20010229,2001,미국,장편,SF(1),개봉,스티븐 스필버그,
킬빌,Kill Bill: Vol. 1,20030394,2003,미국,장편,액션,개봉,쿠엔틴 타란티노,
마더,Mother,20090248,2009,한국,장편,드라마,개봉,봉준호,
블랙 스완,Black Swan,20119577,2010,미국,장편,드라마(1),개봉,대런 아로노프스키,
글라디에이터,Gladiator,19920212,1991,미국,장편,액션(1),개봉,로우디 헤링턴,
달콤한 인생,A Bittersweet Life,20050017,2004,한국,장편,액션,개봉,김지운,
내 머리 속의 지우개,A Moment To Remember,20040673,2004,한국,장편,멜로/로맨스,개봉,이재한,
캐치 미 이프 유 캔,Catch Me If You Can,20020011,2002,미국,장편,드라마(1),개봉,스티븐 스필버그,
해바라기,Sunflower,20060353,2006,한국,장편,액션(3),개봉,강석범,
